No,??,????,,,,,,???,,,
133,"1,073",6,18,28,30,32,38,15,,,
134,"1,072",16,18,20,23,32,43,27,,,
135,"1,071",1,2,11,21,30,35,39,,,
136,"1,070",3,6,14,22,30,41,36,,,
137,"1,069",1,10,18,22,28,31,44,,,
138,"1,068",4,7,19,26,33,35,3,,,
139,"1,067",7,10,19,23,28,33,18,,,
140,"1,066",6,11,16,19,21,32,45,,,
141,"1,065",3,18,19,23,32,45,24,,,
142,"1,064",3,6,9,18,22,35,14,,,
143,"1,063",3,6,22,23,24,38,30,,,
144,"1,062",20,31,32,40,41,45,12,,,
145,"1,061",4,24,27,35,37,45,15,,,
146,"1,060",3,10,24,33,38,45,36,,,
147,"1,059",7,10,22,25,34,40,27,,,
148,"1,058",11,23,25,30,32,40,42,,,
149,"1,057",8,13,19,27,40,45,12,,,
150,"1,056",13,20,24,32,36,45,29,,,
151,"1,055",4,7,12,14,22,33,31,,,
152,"1,054",14,19,27,28,30,45,33,,,
153,"1,053",22,26,29,30,34,45,15,,,
154,"1,052",5,17,26,27,35,38,1,,,
155,"1,051",21,26,30,32,33,35,44,,,
156,"1,050",6,12,31,35,38,43,17,,,
157,"1,049",3,5,13,20,21,37,17,,,
158,"1,048",6,12,17,21,32,39,30,,,
159,"1,047",2,20,33,40,42,44,32,,,
160,"1,046",7,16,25,29,35,36,28,,,
161,"1,045",6,14,15,19,21,41,37,,,
162,"1,044",12,17,20,26,28,36,4,,,
163,"1,043",3,5,12,22,26,31,19,,,
164,"1,042",5,14,15,23,34,43,4,,,
165,"1,041",6,7,9,11,17,18,45,,,
166,"1,040",8,16,26,29,31,36,11,,,
167,"1,039",2,3,6,19,36,39,26,,,
168,"1,038",7,16,24,27,37,44,2,,,
169,"1,037",2,14,15,22,27,33,31,,,
170,"1,036",2,5,22,32,34,45,39,,,
171,"1,035",9,14,34,35,41,42,2,,,
172,"1,034",26,31,32,33,38,40,11,,,
173,"1,033",3,11,15,20,35,44,10,,,
174,"1,032",1,6,12,19,36,42,28,,,
175,"1,031",6,7,22,32,35,36,19,,,
176,"1,030",2,5,11,17,24,29,9,,,
177,"1,029",12,30,32,37,39,41,24,,,
178,"1,028",5,7,12,13,18,35,23,,,
179,"1,027",14,16,27,35,39,45,5,,,
180,"1,026",5,12,13,31,32,41,34,,,
181,"1,025",8,9,20,25,29,33,7,,,
182,"1,024",9,18,20,22,38,44,10,,,
183,"1,023",10,14,16,18,29,35,25,,,
184,"1,022",5,6,11,29,42,45,28,,,
185,"1,021",12,15,17,24,29,45,16,,,
186,"1,020",12,27,29,38,41,45,6,,,
187,"1,019",1,4,13,17,34,39,6,,,
188,"1,018",3,19,21,25,37,45,35,,,
189,"1,017",12,18,22,23,30,34,32,,,
190,"1,016",15,26,28,34,41,42,44,,,
191,"1,015",14,23,31,33,37,40,44,,,
192,"1,014",3,11,14,18,26,27,21,,,
193,"1,013",21,22,26,34,36,41,32,,,
194,"1,012",5,11,18,20,35,45,3,,,
195,"1,011",1,9,12,26,35,38,42,,,
196,"1,010",9,12,15,25,34,36,3,,,
197,"1,009",15,23,29,34,40,44,20,,,
198,"1,008",9,11,30,31,41,44,33,,,
199,"1,007",8,11,16,19,21,25,40,,,
200,"1,006",8,11,15,16,17,37,36,,,
201,"1,005",8,13,18,24,27,29,17,,,
202,"1,004",7,15,30,37,39,44,18,,,
203,"1,003",1,4,29,39,43,45,31,,,
204,"1,002",17,25,33,35,38,45,15,,,
205,"1,001",6,10,12,14,20,42,15,,,
206,"1,000",2,8,19,22,32,42,39,,,
207,999,1,3,9,14,18,28,34,,,
208,998,13,17,18,20,42,45,41,,,
209,997,4,7,14,16,24,44,20,,,
210,996,6,11,15,24,32,39,28,,,
211,995,1,4,13,29,38,39,7,,,
212,994,1,3,8,24,27,35,28,,,
213,993,6,14,16,18,24,42,44,,,
214,992,12,20,26,33,44,45,24,,,
215,991,13,18,25,31,33,44,38,,,
216,990,2,4,25,26,36,37,28,,,
217,989,17,18,21,27,29,33,26,,,
218,988,2,13,20,30,31,41,27,,,
219,987,2,4,15,23,29,38,7,,,
220,986,7,10,16,28,41,42,40,,,
221,985,17,21,23,30,34,44,19,,,
222,984,3,10,23,35,36,37,18,,,
223,983,13,23,26,31,35,43,15,,,
224,982,5,7,13,20,21,44,33,,,
225,981,27,36,37,41,43,45,32,,,
226,980,3,13,16,23,24,35,14,,,
227,979,7,11,16,21,27,33,24,,,
228,978,1,7,15,32,34,42,8,,,
229,977,2,9,10,14,22,44,16,,,
230,976,4,12,14,25,35,37,2,,,
231,975,7,8,9,17,22,24,5,,,
232,974,1,2,11,16,39,44,32,,,
233,973,22,26,31,37,41,42,24,,,
234,972,3,6,17,23,37,39,26,,,
235,971,2,6,17,18,21,26,7,,,
236,970,9,11,16,21,28,36,5,,,
237,969,3,9,10,29,40,45,7,,,
238,968,2,5,12,14,24,39,33,,,
239,967,1,6,13,37,38,40,9,,,
240,966,1,21,25,29,34,37,36,,,
241,965,2,13,25,28,29,36,34,,,
242,964,6,21,36,38,39,43,30,,,
243,963,6,12,19,23,34,42,35,,,
244,962,1,18,28,31,34,43,40,,,
245,961,11,20,29,31,33,42,43,,,
246,960,2,18,24,30,32,45,14,,,
247,959,1,14,15,24,40,41,35,,,
248,958,2,9,10,16,35,37,1,,,
249,957,4,15,24,35,36,40,1,,,
250,956,10,11,20,21,25,41,40,,,
251,955,4,9,23,26,29,33,8,,,
252,954,1,9,26,28,30,41,32,,,
253,953,7,9,22,27,37,42,34,,,
254,952,4,12,22,24,33,41,38,,,
255,951,2,12,30,31,39,43,38,,,
256,950,3,4,15,22,28,40,10,,,
257,949,14,21,35,36,40,44,30,,,
258,948,13,18,30,31,38,41,5,,,
259,947,3,8,17,20,27,35,26,,,
260,946,9,18,19,30,34,40,20,,,
261,945,9,10,15,30,33,37,26,,,
262,944,2,13,16,19,32,33,42,,,
263,943,1,8,13,36,44,45,39,,,
264,942,10,12,18,35,42,43,39,,,
265,941,12,14,25,27,39,40,35,,,
266,940,3,15,20,22,24,41,11,,,
267,939,4,11,28,39,42,45,6,,,
268,938,4,8,10,16,31,36,9,,,
269,937,2,10,13,22,29,40,26,,,
270,936,7,11,13,17,18,29,43,,,
271,935,4,10,20,32,38,44,18,,,
272,934,1,3,30,33,36,39,12,,,
273,933,23,27,29,31,36,45,37,,,
274,932,1,6,15,36,37,38,5,,,
275,931,14,15,23,25,35,43,32,,,
276,930,8,21,25,38,39,44,28,,,
277,929,7,9,12,15,19,23,4,,,
278,928,3,4,10,20,28,44,30,,,
279,927,4,15,22,38,41,43,26,,,
280,926,10,16,18,20,25,31,6,,,
281,925,13,24,32,34,39,42,4,,,
282,924,3,11,34,42,43,44,13,,,
283,923,3,17,18,23,36,41,26,,,
284,922,2,6,13,17,27,43,36,,,
285,921,5,7,12,22,28,41,1,,,
286,920,2,3,26,33,34,43,29,,,
287,919,9,14,17,18,42,44,35,,,
288,918,7,11,12,31,33,38,5,,,
289,917,1,3,23,24,27,43,34,,,
290,916,6,21,22,32,35,36,17,,,
291,915,2,6,11,13,22,37,14,,,
292,914,16,19,24,33,42,44,27,,,
293,913,6,14,16,21,27,37,40,,,
294,912,5,8,18,21,22,38,10,,,
295,911,4,5,12,14,32,42,35,,,
296,910,1,11,17,27,35,39,31,,,
297,909,7,24,29,30,34,35,33,,,
298,908,3,16,21,22,23,44,30,,,
299,907,21,27,29,38,40,44,37,,,
300,906,2,5,14,28,31,32,20,,,
301,905,3,4,16,27,38,40,20,,,
302,904,2,6,8,26,43,45,11,,,
303,903,2,15,16,21,22,28,45,,,
304,902,7,19,23,24,36,39,30,,,
305,901,5,18,20,23,30,34,21,,,
306,900,7,13,16,18,35,38,14,,,
307,899,8,19,20,21,33,39,37,,,
308,898,18,21,28,35,37,42,17,,,
309,897,6,7,12,22,26,36,29,,,
310,896,5,12,25,26,38,45,23,,,
311,895,16,26,31,38,39,41,23,,,
312,894,19,32,37,40,41,43,45,,,
313,893,1,15,17,23,25,41,10,,,
314,892,4,9,17,18,26,42,36,,,
315,891,9,13,28,31,39,41,19,,,
316,890,1,4,14,18,29,37,6,,,
317,889,3,13,29,38,39,42,26,,,
318,888,3,7,12,31,34,38,32,,,
319,887,8,14,17,27,36,45,10,,,
320,886,19,23,28,37,42,45,2,,,
321,885,1,3,24,27,39,45,31,,,
322,884,4,14,23,28,37,45,17,,,
323,883,9,18,32,33,37,44,22,,,
324,882,18,34,39,43,44,45,23,,,
325,881,4,18,20,26,27,32,9,,,
326,880,7,17,19,23,24,45,38,,,
327,879,1,4,10,14,15,35,20,,,
328,878,2,6,11,16,25,31,3,,,
329,877,5,17,18,22,23,43,12,,,
330,876,5,16,21,26,34,42,24,,,
331,875,19,22,30,34,39,44,36,,,
332,874,1,15,19,23,28,42,32,,,
333,873,3,5,12,13,33,39,38,,,
334,872,2,4,30,32,33,43,29,,,
335,871,2,6,12,26,30,34,38,,,
336,870,21,25,30,32,40,42,31,,,
337,869,2,6,20,27,37,39,4,,,
338,868,12,17,28,41,43,44,25,,,
339,867,14,17,19,22,24,40,41,,,
340,866,9,15,29,34,37,39,12,,,
341,865,3,15,22,32,33,45,2,,,
342,864,3,7,10,13,25,36,32,,,
343,863,16,21,28,35,39,43,12,,,
344,862,10,34,38,40,42,43,32,,,
345,861,11,17,19,21,22,25,24,,,
346,860,4,8,18,25,27,32,42,,,
347,859,8,22,35,38,39,41,24,,,
348,858,9,13,32,38,39,43,23,,,
349,857,6,10,16,28,34,38,43,,,
350,856,10,24,40,41,43,44,17,,,
351,855,8,15,17,19,43,44,7,,,
352,854,20,25,31,32,36,43,3,,,
353,853,2,8,23,26,27,44,13,,,
354,852,11,17,28,30,33,35,9,,,
355,851,14,18,22,26,31,44,40,,,
356,850,16,20,24,28,36,39,5,,,
357,849,5,13,17,29,34,39,3,,,
358,848,1,2,16,22,38,39,34,,,
359,847,12,16,26,28,30,42,22,,,
360,846,5,18,30,41,43,45,13,,,
361,845,1,16,29,33,40,45,6,,,
362,844,7,8,13,15,33,45,18,,,
363,843,19,21,30,33,34,42,4,,,
364,842,14,26,32,36,39,42,38,,,
365,841,5,11,14,30,33,38,24,,,
366,840,2,4,11,28,29,43,27,,,
367,839,3,9,11,12,13,19,35,,,
368,838,9,14,17,33,36,38,20,,,
369,837,2,25,28,30,33,45,6,,,
370,836,1,9,11,14,26,28,19,,,
371,835,9,10,13,28,38,45,35,,,
372,834,6,8,18,35,42,43,3,,,
373,833,12,18,30,39,41,42,19,,,
374,832,13,14,19,26,40,43,30,,,
375,831,3,10,16,19,31,39,9,,,
376,830,5,6,16,18,37,38,17,,,
377,829,4,5,31,35,43,45,29,,,
378,828,4,7,13,29,31,39,18,,,
379,827,5,11,12,29,33,44,14,,,
380,826,13,16,24,25,33,36,42,,,
381,825,8,15,21,31,33,38,42,,,
382,824,7,9,24,29,34,38,26,,,
383,823,12,18,24,26,39,40,15,,,
384,822,9,18,20,24,27,36,12,,,
385,821,1,12,13,24,29,44,16,,,
386,820,10,21,22,30,35,42,6,,,
387,819,16,25,33,38,40,45,15,,,
388,818,14,15,25,28,29,30,3,,,
389,817,3,9,12,13,25,43,34,,,
390,816,12,18,19,29,31,39,7,,,
391,815,17,21,25,26,27,36,4,,,
392,814,2,21,28,38,42,45,30,,,
393,813,11,30,34,35,42,44,27,,,
394,812,1,3,12,14,16,43,10,,,
395,811,8,11,19,21,36,45,25,,,
396,810,5,10,13,21,39,43,11,,,
397,809,6,11,15,17,23,40,39,,,
398,808,15,21,31,32,41,43,24,,,
399,807,6,10,18,25,34,35,33,,,
400,806,14,20,23,31,37,38,27,,,
401,805,3,12,13,18,31,32,42,,,
402,804,1,10,13,26,32,36,9,,,
403,803,5,9,14,26,30,43,2,,,
404,802,10,11,12,18,24,42,27,,,
405,801,17,25,28,37,43,44,2,,,
406,800,1,4,10,12,28,45,26,,,
407,799,12,17,23,34,42,45,33,,,
408,798,2,10,14,22,32,36,41,,,
409,797,5,22,31,32,39,45,36,,,
410,796,1,21,26,36,40,41,5,,,
