"id","type","date","description","amount","category"
"105","Expense","2024-04-04","Nagad(Myself)","121299","Family"
"106","Expense","2024-04-05","Nagad(Myself)","241441","Family"
"107","Expense","2024-04-06","Bank(Myself)","1415306","Family"
"108","Expense","2024-04-07","Nagad(Myself)","120694","Family"
"109","Expense","2024-04-15","Sim Bill","7900","Others"
"110","Expense","2024-04-17","Mobile Recharge","6902","Family"
"111","Expense","2024-04-21","Bank(Myself)","1190789","Family"
"112","Expense","2024-04-24","Nagad(Myself)","63603","Family"
"113","Expense","2024-04-26","Mobile Recharge","2669","Family"
"114","Expense","2024-04-29","Bank(Myself)","1789249","Family"
"115","Expense","2024-04-12","Master Card Bill","410318","Master Card Bill"
"116","Expense","2024-04-02","Groceries","6000","Groceries"
"117","Expense","2022-06-28","To Bank(Mom)","2440010","Family"
"118","Expense","2022-06-28","Al Amin(Bkash)","70000","Debt"
"119","Expense","2022-06-28","Ujjal(Eating out)","115000","Debt"
"120","Expense","2022-06-28","Mobarak","385000","Debt"
"121","Expense","2022-06-29","MobileVoip","16000","Others"
"122","Expense","2022-07-01","Father(Bkash)","133000","Family"
"123","Expense","2022-07-01","Bkash","55000","Wife"
"124","Expense","2022-07-01","Shared","10606","Car Rent"
"125","Expense","2022-07-01","Eating Out","5850","Others"
"126","Expense","2022-07-01","Tmoney","10000","Others"
"127","Expense","2022-07-01","Eating Out","2100","Others"
"128","Expense","2022-07-01","Taxi Fare","1625","Others"
"129","Expense","2022-07-02","Coupang(Rice,Vita)","40840","Shoping"
"130","Expense","2022-07-03","Coupang Eats(shared)","5000","Shoping"
"131","Expense","2022-07-03","Dates,Fish,Milk","33000","Shoping"
"132","Expense","2022-07-03","Briyani","14000","Others"
"133","Expense","2022-07-08","Lotto","20000","Others"
"134","Expense","2022-07-10","Bank(Mom)","1175001","Family"
"135","Expense","2022-07-10","Bkash","42000","Lend"
"136","Expense","2022-07-10","Movie Night","29950","Others"
"137","Expense","2022-07-10","Coupang Eats(shared)","13000","Shoping"
"138","Expense","2022-07-10","Beef,Other","47000","Shoping"
"139","Expense","2022-07-10","Emart24","3300","Shoping"
"140","Expense","2022-07-10","Hanpass Card fee","10000","Others"
"141","Expense","2022-07-15","Voip","16000","Others"
"142","Expense","2022-07-15","Bkash","333582","Wife"
"143","Expense","2022-07-17","Cake,etc","16910","Shoping"
"144","Expense","2022-07-17","Coupang Eats","13900","Shoping"
"145","Expense","2022-07-17","Milk,Egg etc","21480","Shoping"
"146","Expense","2022-07-18","Coupang Eats","20000","Shoping"
"147","Expense","2022-07-18","Samsung Insurance","219400","Others"
"148","Expense","2022-07-19","Health Insurance","140070","Others"
